id,name,label,order,created_at,updated_at,deleted_at
16,National Capital Region,NCR,3,,,
15,Cordillera Administrative Region,CAR,4,,,
1,Ilocos Region,Region I,5,,,
2,Cagayan Valley,Region II,6,,,
3,Central Luzon,Region III,7,,,
40,CALABARZON,Region IV-A,8,,,
41,MIMAROPA,Region IV-B,9,,,
5,Bicol Region,Region V,10,,,
6,Western Visayas,Region VI,11,,,
7,Central Visayas,Region VII,12,,,
8,Eastern Visayas,Region VIII,13,,,
9,Zamboanga Peninsula,Region IX,14,,,
10,Northern Mindanao,Region X,15,,,
11,Davao Region,Region XI,16,,,
12,SOCCSKSARGEN,Region XII,17,,,
13,Caraga,Region XIII,18,,,
14,Autonomous Region of Muslim Mindanao,ARMM,19,,,
