operating_unit_id,prexc_subprogram_id
18,1
18,2
18,41
18,34
20,1
20,43
20,7
19,1
19,2
19,35
19,41
19,43
19,55
19,47
19,61
19,51
21,1
21,2
21,35
21,41
21,43
21,47
21,61
21,51
22,1
22,2
22,35
22,41
22,43
22,55
22,56
22,4
1,1
1,2
1,35
1,38
1,41
1,43
1,55
1,56
1,57
1,58
1,47
1,60
1,61
1,34
1,46
1,5
1,10
1,12
1,13
1,14
1,15
1,16
1,17
29,1
29,35
29,41
29,43
2,1
2,35
2,38
2,41
2,43
2,55
2,56
2,57
2,47
2,51
2,34
2,46
2,5
2,15
2,16
3,1
3,2
3,35
3,38
3,41
3,43
3,55
3,56
3,57
3,47
3,51
3,34
3,5
3,15
3,16
4,1
4,2
4,35
4,38
4,41
4,43
4,55
4,56
4,57
4,47
4,51
4,5
4,15
4,16
5,1
5,2
5,35
5,38
5,41
5,43
5,55
5,56
5,57
5,47
5,51
5,34
5,5
5,15
5,16
6,1
6,2
6,35
6,38
6,41
6,43
6,55
6,56
6,57
6,58
6,47
6,51
6,5
6,15
6,16
7,1
7,2
7,35
7,38
7,41
7,43
7,55
7,56
7,57
7,47
7,51
7,5
7,15
7,16
12,1
12,2
12,35
12,38
12,41
12,43
12,55
12,56
12,57
12,47
12,51
12,34
12,5
12,15
12,16
8,1
8,2
8,35
8,38
8,41
8,43
8,55
8,56
8,57
8,47
8,51
8,34
8,5
8,15
8,16
9,1
9,2
9,35
9,38
9,41
9,43
9,55
9,56
9,57
9,47
9,51
9,46
9,5
9,15
9,16
10,1
10,2
10,35
10,38
10,41
10,43
10,55
10,56
10,57
10,47
10,51
10,34
10,5
10,15
10,16
11,1
11,35
11,38
11,41
11,43
11,55
11,56
11,57
11,47
11,51
11,34
11,5
11,15
11,16
13,1
13,2
13,35
13,38
13,41
13,43
13,55
13,56
13,57
13,47
13,51
13,34
13,5
13,15
13,16
14,1
14,2
14,35
14,38
14,41
14,43
14,55
14,56
14,57
14,47
14,51
14,34
14,5
14,15
14,16
15,1
15,2
15,35
15,38
15,41
15,43
15,55
15,56
15,57
15,47
15,51
15,34
15,5
15,15
15,16
16,1
16,35
16,38
16,41
16,43
16,55
16,56
16,57
16,47
16,51
16,5
16,13
16,15
16,16
24,1
24,18
24,25
25,1
25,2
25,36
25,39
25,42
25,44
25,45
25,47
25,49
25,53
25,54
25,59
25,19
25,5
25,8
25,11
27,1
27,39
27,44
27,59
27,5
27,8
28,1
28,2
28,37
28,40
28,62
30,1
30,20
30,26
30,29
30,31
30,32
30,33
31,1
31,2
31,19
33,8
33,19
33,22
33,27
33,47
33,51
32,1
32,2
32,24
32,28
32,30
