id,name,label,region_id,created_at,updated_at,deleted_at
50,MOUNTAIN PROVINCE,Mountain Province,15,,,
33,IFUGAO,Ifugao,15,,,
13,BENGUET,Benguet,15,,,
1,ABRA,Abra,15,,,
7,APAYAO,Apayao,15,,,
38,KALINGA,Kalinga,15,,,
39,LA UNION,La Union,1,,,
34,ILOCOS NORTE,Ilocos Norte,1,,,
35,ILOCOS SUR,Ilocos Sur,1,,,
60,PANGASINAN,Pangasinan,1,,,
55,NUEVA VIZCAYA,Nueva Vizcaya,2,,,
18,CAGAYAN,Cagayan,2,,,
37,ISABELA,Isabela,2,,,
62,QUIRINO,Quirino,2,,,
11,BATANES,Batanes,2,,,
10,BATAAN,Bataan,3,,,
77,ZAMBALES,Zambales,3,,,
75,TARLAC,Tarlac,3,,,
59,PAMPANGA,Pampanga,3,,,
17,BULACAN,Bulacan,3,,,
54,NUEVA ECIJA,Nueva Ecija,3,,,
8,AURORA,Aurora,3,,,
63,RIZAL,Rizal,40,,,
24,CAVITE,Cavite,40,,,
40,LAGUNA,Laguna,40,,,
12,BATANGAS,Batangas,40,,,
61,QUEZON,Quezon,40,,,
56,OCCIDENTAL MINDORO,Occidental Mindoro,41,,,
57,ORIENTAL MINDORO,Oriental Mindoro,41,,,
64,ROMBLON,Romblon,41,,,
58,PALAWAN,Palawan,41,,,
45,MARINDUQUE,Marinduque,41,,,
23,CATANDUANES,Catanduanes,5,,,
19,CAMARINES NORTE,Camarines Norte,5,,,
68,SORSOGON,Sorsogon,5,,,
5,ALBAY,Albay,5,,,
46,MASBATE,Masbate,5,,,
20,CAMARINES SUR,Camarines Sur,5,,,
22,CAPIZ,Capiz,6,,,
4,AKLAN,Aklan,6,,,
6,ANTIQUE,Antique,6,,,
51,NEGROS OCCIDENTAL,Negros Occidental,6,,,
36,ILOILO,Iloilo,6,,,
32,GUIMARAS,Guimaras,6,,,
52,NEGROS ORIENTAL,Negros Oriental,7,,,
25,CEBU,Cebu,7,,,
15,BOHOL,Bohol,7,,,
67,SIQUIJOR,Siquijor,7,,,
70,SOUTHERN LEYTE,Southern Leyte,8,,,
31,EASTERN SAMAR,Eastern Samar,8,,,
53,NORTHERN SAMAR,Northern Samar,8,,,
65,SAMAR (WESTERN SAMAR),Samar (Western Samar),8,,,
43,LEYTE,Leyte,8,,,
14,BILIRAN,Biliran,8,,,
80,ZAMBOANGA SIBUGAY,Zamboanga Sibugay,9,,,
78,ZAMBOANGA DEL NORTE,Zamboanga Del Norte,9,,,
79,ZAMBOANGA DEL SUR,Zamboanga Del Sur,9,,,
48,MISAMIS OCCIDENTAL,Misamis Occidental,10,,,
16,BUKIDNON,Bukidnon,10,,,
41,LANAO DEL NORTE,Lanao Del Norte,10,,,
49,MISAMIS ORIENTAL,Misamis Oriental,10,,,
21,CAMIGUIN,Camiguin,10,,,
30,DAVAO ORIENTAL,Davao Oriental,11,,,
26,COMPOSTELA VALLEY,Compostela Valley,11,,,
29,DAVAO DEL SUR,Davao Del Sur,11,,,
88,DAVAO OCCIDENTAL,Davao Occidental,11,,,
28,DAVAO DEL NORTE,Davao Del Norte,11,,,
69,SOUTH COTABATO,South Cotabato,12,,,
71,SULTAN KUDARAT,Sultan Kudarat,12,,,
27,COTABATO (NORTH COTABATO),Cotabato (North Cotabato),12,,,
66,SARANGANI,Sarangani,12,,,
2,AGUSAN DEL NORTE,Agusan Del Norte,13,,,
3,AGUSAN DEL SUR,Agusan Del Sur,13,,,
74,SURIGAO DEL SUR,Surigao Del Sur,13,,,
73,SURIGAO DEL NORTE,Surigao Del Norte,13,,,
82,DINAGAT ISLANDS,Dinagat Islands,13,,,
76,TAWI-TAWI,Tawi-Tawi,14,,,
9,BASILAN,Basilan,14,,,
72,SULU,Sulu,14,,,
44,MAGUINDANAO,Maguindanao,14,,,
42,LANAO DEL SUR,Lanao Del Sur,14,,,
84,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","Ncr, City Of Manila, First District (Not A Province)",16,,,
85,"NCR, SECOND DISTRICT (Not a Province)","Ncr, Second District (Not A Province)",16,,,
86,"NCR, THIRD DISTRICT (Not a Province)","Ncr, Third District (Not A Province)",16,,,
87,"NCR, FOURTH DISTRICT (Not a Province)","Ncr, Fourth District (Not A Province)",16,,,
89,ZAMBOANGA CITY,Zamboanga City,9,,,
90,DAVAO CITY,Davao City,11,,,
91,ILOILO CITY,Iloilo City,6,,,
92,SANTIAGO CITY,Santiago City,2,,,
83,BUTUAN CITY,Butuan City,13,,,
93,GENERAL SANTOS CITY,General Santos City,12,,,
94,ILIGAN CITY,Iligan City,10,,,
95,CAGAYAN DE ORO CITY,Cagayan De Oro City,10,,,
96,PUERTO PRINCESA CITY,Puerto Princesa City,41,,,
