id,name,province_id
1,"Abra, Lone",1
2,"Agusan del Norte, 1st",2
3,"Agusan del Norte, 2nd",2
4,"Agusan del Sur, 1st",3
5,"Agusan del Sur, 2nd",3
6,"Aklan, 1st",4
7,"Aklan, 2nd",4
8,"Albay, 1st",5
9,"Albay, 2nd",5
10,"Albay, 3rd",5
11,"Antipolo, 1st",63
12,"Antipolo, 2nd",63
13,"Antique, Lone",6
14,"Apayao, Lone",7
15,"Aurora, Lone",8
16,"Bacolod, Lone",52
17,"Baguio, Lone",13
18,"Basilan, Lone",9
19,"Bataan, 1st",10
20,"Bataan, 2nd",10
21,"Batanes, Lone",11
22,"Batangas, 1st",12
23,"Batangas, 2nd",12
24,"Batangas, 3rd",12
25,"Batangas, 4th",12
26,"Batangas, 5th",12
27,"Batangas, 6th",12
28,"Benguet, Lone",13
29,"Biliran, Lone",14
30,"Biñan, Lone",40
31,"Bohol, 1st",15
32,"Bohol, 2nd",15
33,"Bohol, 3rd",15
34,"Bukidnon, 1st",16
35,"Bukidnon, 2nd",16
36,"Bukidnon, 3rd",16
37,"Bukidnon, 4th",16
38,"Bulacan, 1st",17
39,"Bulacan, 2nd",17
40,"Bulacan, 3rd",17
41,"Bulacan, 4th",17
42,"Cagayan, 1st",18
43,"Cagayan, 2nd",18
44,"Cagayan, 3rd",18
45,"Cagayan de Oro, 1st",95
46,"Cagayan de Oro, 2nd",95
47,"Calamba, Lone",40
48,"Caloocan, 1st",86
49,"Caloocan, 2nd",86
50,"Camarines Norte, 1st",19
51,"Camarines Norte, 2nd",19
52,"Camarines Sur, 1st",20
53,"Camarines Sur, 2nd",20
54,"Camarines Sur, 3rd",20
55,"Camarines Sur, 4th",20
56,"Camarines Sur, 5th",20
57,"Camiguin, Lone",21
58,"Capiz, 1st",22
59,"Capiz, 2nd",22
60,"Catanduanes, Lone",23
61,"Cavite, 1st",24
62,"Cavite, 2nd",24
63,"Cavite, 3rd",24
64,"Cavite, 4th",24
65,"Cavite, 5th",24
66,"Cavite, 6th",24
67,"Cavite, 7th",24
68,"Cavite, 8th",24
69,"Cebu, 1st",25
70,"Cebu, 2nd",25
71,"Cebu, 3rd",25
72,"Cebu, 4th",25
73,"Cebu, 5th",25
74,"Cebu, 6th",25
75,"Cebu, 7th",25
76,"Cebu City, 1st",25
77,"Cebu City, 2nd",25
78,"Compostela Valley, 1st",26
79,"Compostela Valley, 2nd",26
80,"Cotabato, 1st",27
81,"Cotabato, 2nd",27
82,"Cotabato, 3rd",27
83,"Davao City, 1st",90
84,"Davao City, 2nd",90
85,"Davao City, 3rd",90
86,"Davao del Norte, 1st",28
87,"Davao del Norte, 2nd",28
88,"Davao del Sur, Lone",29
89,"Davao Occidental, Lone",88
90,"Davao Oriental, 1st",30
91,"Davao Oriental, 2nd",30
92,"Dinagat Islands, Lone",82
93,"Eastern Samar, Lone",31
94,"Guimaras, Lone",32
95,"Ifugao, Lone",33
96,"Iligan, Lone",94
