id,name,province_id
97,"Ilocos Norte, 1st",34
98,"Ilocos Norte, 2nd",34
99,"Ilocos Sur, 1st",35
100,"Ilocos Sur, 2nd",35
101,"Iloilo, 1st",36
102,"Iloilo, 2nd",36
103,"Iloilo, 3rd",36
104,"Iloilo, 4th",36
105,"Iloilo, 5th",36
106,"Iloilo City, Lone",91
107,"Isabela, 1st",37
108,"Isabela, 2nd",37
109,"Isabela, 3rd",37
110,"Isabela, 4th",37
111,"Isabela, 5th",37
112,"Isabela, 6th",37
113,"Kalinga, Lone",38
114,"La Union, 1st",39
115,"La Union, 2nd",39
116,"Laguna, 1st",40
117,"Laguna, 2nd",40
118,"Laguna, 3rd",40
119,"Laguna, 4th",40
120,"Lanao del Norte, 1st",41
121,"Lanao del Norte, 2nd",41
122,"Lanao del Sur, 1st",42
123,"Lanao del Sur, 2nd",42
124,"Lapu-Lapu City, Lone",25
125,"Las Piñas, Lone",87
126,"Leyte, 1st",43
127,"Leyte, 2nd",43
128,"Leyte, 3rd",43
129,"Leyte, 4th",43
130,"Leyte, 5th",43
131,"Maguindanao, 1st",44
132,"Maguindanao, 2nd",44
133,"Makati, 1st",87
134,"Makati, 2nd",87
135,"Malabon, Lone",86
136,"Mandaluyong, Lone",85
137,"Manila, 1st",84
138,"Manila, 2nd",84
139,"Manila, 3rd",84
140,"Manila, 4th",84
141,"Manila, 5th",84
142,"Manila, 6th",84
143,"Marikina, 1st",84
144,"Marikina, 2nd",84
145,"Marinduque, Lone",45
146,"Masbate, 1st",46
147,"Masbate, 2nd",46
148,"Masbate, 3rd",46
149,"Misamis Occidental, 1st",48
150,"Misamis Occidental, 2nd",48
151,"Misamis Oriental, 1st",49
152,"Misamis Oriental, 2nd",49
153,"Mountain Province, Lone",50
154,"Muntinlupa, Lone",87
155,"Navotas, Lone",86
156,"Negros Occidental, 1st",51
157,"Negros Occidental, 2nd",51
158,"Negros Occidental, 3rd",51
159,"Negros Occidental, 4th",51
160,"Negros Occidental, 5th",51
161,"Negros Occidental, 6th",51
162,"Negros Oriental, 1st",52
163,"Negros Oriental, 2nd",52
164,"Negros Oriental, 3rd",52
165,"Northern Samar, 1st",53
166,"Northern Samar, 2nd",53
167,"Nueva Ecija, 1st",54
168,"Nueva Ecija, 2nd",54
169,"Nueva Ecija, 3rd",54
170,"Nueva Ecija, 4th",54
171,"Nueva Vizcaya, Lone",55
172,"Occidental Mindoro, Lone",56
173,"Oriental Mindoro, 1st",57
174,"Oriental Mindoro, 2nd",57
175,"Palawan, 1st",58
176,"Palawan, 2nd",58
177,"Palawan, 3rd",58
178,"Pampanga, 1st",59
179,"Pampanga, 2nd",59
180,"Pampanga, 3rd",59
181,"Pampanga, 4th",59
182,"Pangasinan, 1st",60
183,"Pangasinan, 2nd",60
184,"Pangasinan, 3rd",60
185,"Pangasinan, 4th",60
186,"Pangasinan, 5th",60
187,"Pangasinan, 6th",60
188,"Parañaque, 1st",87
189,"Parañaque, 2nd",87
190,"Pasay, Lone",85
191,"Pasig, Lone",87
192,"Quezon, 1st",61
193,"Quezon, 2nd",61
194,"Quezon, 3rd",61
195,"Quezon, 4th",61
196,"Quezon City, 1st",85
197,"Quezon City, 2nd",85
198,"Quezon City, 3rd",85
199,"Quezon City, 4th",85
200,"Quezon City, 5th",85
201,"Quezon City, 6th",85
202,"Quirino, Lone",62
203,"Rizal, 1st",63
204,"Rizal, 2nd",63
205,"Romblon, Lone",64
206,"Samar, 1st",65
207,"Samar, 2nd",65
208,"San Jose del Monte, Lone",17
209,"San Juan, Lone",85
210,"Sarangani, Lone",66
211,"Siquijor, Lone",67
212,"Sorsogon, 1st",68
213,"Sorsogon, 2nd",68
214,"South Cotabato, 1st",69
215,"South Cotabato, 2nd",69
216,"Southern Leyte, Lone",70
217,"Sultan Kudarat, 1st",71
218,"Sultan Kudarat, 2nd",71
219,"Sulu, 1st",72
220,"Sulu, 2nd",72
221,"Surigao del Norte, 1st",73
222,"Surigao del Norte, 2nd",73
223,"Surigao del Sur, 1st",74
224,"Surigao del Sur, 2nd",74
225,"Taguig–Pateros, 1st",87
226,"Taguig, 2nd",87
227,"Tarlac, 1st",75
228,"Tarlac, 2nd",75
229,"Tarlac, 3rd",75
230,"Tawi-Tawi, Lone",76
231,"Valenzuela, 1st",86
232,"Valenzuela, 2nd",86
233,"Zambales, 1st",77
234,"Zambales, 2nd",77
235,"Zamboanga City, 1st",89
236,"Zamboanga City, 2nd",89
237,"Zamboanga del Norte, 1st",78
238,"Zamboanga del Norte, 2nd",78
239,"Zamboanga del Norte, 3rd",78
240,"Zamboanga del Sur, 1st",79
241,"Zamboanga del Sur, 2nd",79
242,"Zamboanga Sibugay, 1st",80
243,"Zamboanga Sibugay, 2nd",80
